Content,EventId,EventTemplate
ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:42213: Link has been severed,66,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*> Link has been severed
rts: kernel terminated for reason 1003,47,rts: kernel terminated for reason <*>
ciod: generated 64 core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm,13,ciod: generated <*> core files for program <*>
iar 003a90fc dear 00b360e8,2,iar <*> dear <*>
"NFS Mount failed on bglio716, slept 15 seconds, retrying (1)",50,"NFS Mount failed on <*> slept <*> seconds, retrying <*>"
Lustre mount FAILED : bglio559 : point /p/gb1,12,Lustre mount FAILED : <*> : point <*>
ciod: pollControlDescriptors: Detected the debugger died.,16,ciod: pollControlDescriptors: Detected the debugger died.
"ciod: In packet from node 91.0 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or 4294967295 (softheader=003b005b 00030000 00000001 00000000)",48,ciod: In packet from node <*> message code <*> is not <*> or <*>
suppressing further interrupts of same type,33,suppressing further interrupts of same type
rts: bad message header: expecting type 57 instead of type 3 (softheader=00131db8 81aa0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007,82,rts: bad message header: expecting type <*> instead of type <*>
critical input interrupt (unit=0x0b bit=0x06): warning for torus y+ wire,84,critical input interrupt <*> warning for torus y+ wire
"ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/Gunnels/VNM64/vnm.rts: invalid or missing program image, Permission denied",64,"ciod: Error loading <*> invalid or missing program image, Permission denied"
data cache search parity error detected. attempting to correct,58,data cache search parity error detected. attempting to correct
shutdown complete,80,shutdown complete
"Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=0064588e 8aff0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",65,"Error receiving packet on tree network, expecting type <*> instead of type <*>"
3 L3 EDRAM error(s) (dcr 0x0157) detected and corrected,44,<*> EDRAM error(s) (dcr <*> detected and corrected
"critical input interrupt (unit=0x0b bit=0x0a): warning for torus z+ wire, suppressing further interrupts of same type",0,"critical input interrupt <*> warning for torus z+ wire, suppressing further interrupts of same type"
18507114 torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over 198 seconds,23,<*> torus sender z- retransmission error(s) (dcr <*> detected and corrected over <*> seconds
"ciod: Received signal 15, code=0, errno=0, address=0x000001b0",39,ciod: Received signal <*>
Lustre mount FAILED : bglio78 : block_id : location,89,Lustre mount FAILED : <*> : block_id : location
MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),15,MACHINE CHECK DCR read timeout <*> iar <*> lr <*>
"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:41554, Connection timed out",71,ciod: Error reading message prefix on CioStream socket to <*> Connection timed out
"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52839, Connection reset by peer",10,ciod: Error reading message prefix on CioStream socket to <*> Connection reset by peer
dbcr0=0x00000000 dbsr=0x00000000 ccr0=0x40002000,19,<*>
r24=0x0ffea4c8 r25=0x00000003 r26=0x0000000f r27=0xffffd000,19,<*>
13 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over 4562 seconds,85,<*> tree receiver <*> in re-synch state event(s) (dcr <*> detected over <*> seconds
0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,11,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.
"10722 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",17,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt."
"1 ddr error(s) detected and corrected on rank 0, symbol 24 over 335 seconds",73,<*> ddr error(s) detected and corrected on rank <*> symbol <*> over <*> seconds
"PrepareForService shutting down Node card(mLctn(R10-M1-N2), mCardSernum(203231503833343000000000594c31304b34323934303257), mLp(FF:F2:9F:16:E0:DA:00:0D:60:E9:1F:25), mIp(10.1.1.164), mType(4)) as part of Service Action 648",34,PrepareForService shutting down Node <*> mType(4)) as part of Service Action <*>
"Kernel detected 35591540 integer alignment exceptions (35591533) iar 0x0023f108, dear 0x1feaa260 (35591534) iar 0x00265564, dear 0x1feaa1c0 (35591535) iar 0x00265574, dear 0x1feaa1e0 (35591536) iar 0x00265578, dear 0x1feaa200 (35591537) iar 0x00265588, dear 0x1feaa220 (35591538) iar 0x0026558c, dear 0x1feaa240 (35591539) iar 0x00265594, dear 0x1feaa260 (35591540) iar 0x00265598, dear 0x1feaa280",27,Kernel detected <*> integer alignment exceptions <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*>
total of 1 ddr error(s) detected and corrected over 2487 seconds,104,total of <*> ddr error(s) detected and corrected over <*> seconds
minus normalized number..................0,45,minus normalized <*>
fraction rounded.........................0,3,fraction <*>
size of scratchpad portion of L3.........0 (0M),72,size of scratchpad portion of <*>
"Kernel detected 3830884 integer alignment exceptions (3830877) iar 0x00544ea8, dear 0x01fc1ba0 (3830878) iar 0x00544eb8, dear 0x01fc1bc0 (3830879) iar 0x00544ea8, dear 0x01fc1be0 (3830880) iar 0x00544eb8, dear 0x01fc1c00 (3830881) iar 0x00544ee0, dear 0x01fc1c20 (3830882) iar 0x00544ef0, dear 0x01fc1c40 (3830883) iar 0x00544ee0, dear 0x01fc1c60 (3830884) iar 0x00544ef0, dear 0x01fc1c80",27,Kernel detected <*> integer alignment exceptions <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*> iar <*> dear <*>
ciod: LOGIN chdir(/p/gb1/stella/RAPTOR/2183) failed: Input/output error,90,ciod: LOGIN <*> failed: Input/output error
2 L3 EDRAM error(s) (dcr 0x0157) detected and corrected over 282 seconds,92,<*> EDRAM error(s) (dcr <*> detected and corrected over <*> seconds
"ciod: Error loading /g/g24/buber/Yunsic/BlueGene/partad.develf/taddriver.32.exe: program image too big, 361544528 > 266076160",56,ciod: Error loading <*> program image too <*> > <*>
fpr29=0xffffffff ffffffff ffffffff ffffffff,46,<*> ffffffff ffffffff ffffffff
Machine State Register: 0x0002f900,14,Machine State Register: <*>
